section,domain_cn,domain_field_en,description,indicator_name,indicator_unit
domain_mapping,CCUS,DOM_CCUS_L1,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,捕集与分离,DOM_CCUS_CAPTURE,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,运输与储存,DOM_CCUS_TRANSPORT,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,固体吸附,DOM_CCUS_CAPTURE_SOLID,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,集群与管网,DOM_CCUS_TRANSPORT_CLUSTER_L3,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,固体胺/多孔吸附剂,DOM_CCUS_CAPTURE_SOLID_SORBENT,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,CO₂管网与集中站,DOM_CCUS_TRANSPORT_CLUSTER,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,电池与储能,DOM_L1_BATTERY,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,锂电体系,DOM_L2_BAT_LIION,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,界面与SEI,DOM_L3_BAT_SEI,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,电解液添加剂与成膜,DOM_L4_BAT_SEI_ADD,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,正极材料,DOM_L3_BAT_CATHODE,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,LFP体系与掺杂包覆,DOM_L4_BAT_CATHODE_LFP,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,高镍NCM与单晶路线,DOM_L4_BAT_CATHODE_NCM,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,固态电池,DOM_L2_BAT_SOLID,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,固态电解质,DOM_L3_SOLID_ELEC,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,硫化物电解质与界面稳定,DOM_L4_SOLID_SULFIDE,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,氧化物电解质与致密化工艺,DOM_L4_SOLID_OXIDE,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,氢能与合成燃料,DOM_L1_H2,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,电解制氢,DOM_L2_H2_ELEC,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,PEM电解,DOM_L3_H2_PEM,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,低铱催化剂与膜电极寿命,DOM_L4_H2_PEM_IR,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
domain_mapping,碱性电解(AEL),DOM_L3_H2_AEL,在批量模板的 domains 字段填写英文 domain id（多个用分号分隔）,,-
